Serial,তারিখ,আক্রান্ত,সুস্থ,মৃত্যু
1,04-Mar-20,0,0,0
2,05-Mar-20,0,0,0
3,06-Mar-20,0,0,0
4,07-Mar-20,0,0,0
5,08-Mar-20,3,0,0
6,09-Mar-20,3,0,0
7,10-Mar-20,3,0,0
8,11-Mar-20,3,0,0
9,12-Mar-20,3,2,0
10,13-Mar-20,3,2,0
11,14-Mar-20,3,2,0
12,15-Mar-20,5,2,0
13,16-Mar-20,8,2,0
14,17-Mar-20,8,3,0
15,18-Mar-20,8,3,1
16,19-Mar-20,10,3,1
17,20-Mar-20,17,3,1
18,21-Mar-20,24,3,2
19,22-Mar-20,27,3,2
20,23-Mar-20,33,5,3
21,24-Mar-20,39,5,4
22,25-Mar-20,39,7,5
23,26-Mar-20,44,11,5
24,27-Mar-20,48,11,5
25,28-Mar-20,48,15,5
26,29-Mar-20,48,15,5
27,30-Mar-20,49,19,5
28,31-Mar-20,51,25,5
29,01-Apr-20,54,25,6
30,02-Apr-20,56,25,6
31,03-Apr-20,61,26,6
32,04-Apr-20,70,30,8
33,05-Apr-20,88,30,8
34,06-Apr-20,123,33,12
35,07-Apr-20,164,33,17
36,08-Apr-20,218,33,20
37,09-Apr-20,330,33,21
38,10-Apr-20,424,33,27
39,11-Apr-20,482,36,30
40,12-Apr-20,621,39,34
41,13-Apr-20,803,42,39
42,14-Apr-20,1012,42,46
43,15-Apr-20,1231,49,50
44,16-Apr-20,1572,49,60
45,17-Apr-20,1838,58,75
46,18-Apr-20,2144,66,84
47,19-Apr-20,2456,75,91
48,20-Apr-20,2948,85,101
49,21-Apr-20,3382,87,110
50,22-Apr-20,3772,92,120
51,23-Apr-20,4186,108,127
52,24-Apr-20,4689,112,131
53,25-Apr-20,4998,112,140
54,26-Apr-20,5416,121,145
55,27-Apr-20,5913,131,152
56,28-Apr-20,6462,139,155
57,29-Apr-20,7103,150,163
58,30-Apr-20,7667,160,168
